country;confirmed;deaths;recovered;Lat;Long;population;active;confirmed_ratio;deaths_ratio;recovered_ratio;active_ratio
Timor-Leste;22991.0;133.0;21914.0;-8.874217;125.727539;1343875.0;944.0;0.017107989954422843;9.896753790345084e-05;0.016306576132452795;0.0007024462840665985
Togo;37998.0;278.0;36047.0;8.6195;0.8248;8478242.0;1673.0;0.0044818253595497745;3.278981656810457e-05;0.004251706898670739;0.00019732864431093144
Tonga;12539.0;12.0;11805.0;-21.179;-175.1982;106759.0;722.0;0.11745145608332787;0.00011240270141159059;0.11057615751365224;0.006762895868264034
Trinidad and Tobago;170710.0;4046.0;154562.0;10.6918;-61.2225;1403374.0;12102.0;0.12164255572641362;0.002883051845053421;0.11013600080947773;0.008623503071882477
Tunisia;1128693.0;29041.0;1013907.0;33.886917;9.537499;11935764.0;85745.0;0.09456395082878649;0.0024331077591681605;0.08494697113649365;0.007183871933124683
US;90973418.0;1028819.0;51815214.0;40.0;-100.0;331893745.0;38129385.0;0.27410404495571317;0.003099844499931748;0.1561198871042297;0.11488431335155172
Uganda;169162.0;3628.0;158391.0;1.373333;32.290275;47123533.0;7143.0;0.003589756311352971;7.698913407023196e-05;0.003361186861774562;0.0001515803155081772
Ukraine;5292020.0;116448.0;5013556.0;48.3794;31.1656;43814581.0;162016.0;0.1207821661012803;0.0026577453747646247;0.11442665627682255;0.0036977644496931283
United Arab Emirates;986747.0;2334.0;950452.0;23.424076;53.847818;9991083.0;33961.0;0.0987627667591191;0.00023360830852871506;0.09513002744547312;0.003399131005117263
United Kingdom;23515417.0;184648.0;16651552.0;25.76751385714286;-35.85756114285714;67326569.0;6679217.0;0.34927395453643273;0.0027425725496274733;0.24732512360759093;0.0992062583792143
Uruguay;969803.0;7403.0;928471.0;-32.5228;-55.7658;3485152.0;33929.0;0.27826705980112204;0.002124154125845874;0.26640760575148514;0.009735299923790986
Uzbekistan;242879.0;1637.0;237598.0;41.377491;64.585262;34915100.0;3644.0;0.006956273933054753;4.6885158570360675e-05;0.006805021323152447;0.0001043674513319452
Vanuatu;11723.0;14.0;11122.0;-15.3767;166.9592;314464.0;587.0;0.037279307011295414;4.4520199450493536e-05;0.03536811844917065;0.0018666683626742647
Vietnam;10772980.0;43092.0;10140017.0;14.058324;108.277199;98168829.0;589871.0;0.10973931450277358;0.00043895807293372116;0.10329161611981742;0.006008740310022441
West Bank and Gaza;682096.0;5678.0;639426.0;31.9522;35.2332;4922749.0;36992.0;0.13855997939362744;0.0011534205786238542;0.12989205827881942;0.007514500536184152
Zambia;329483.0;4015.0;318199.0;-13.133897;27.849332;18920657.0;7269.0;0.01741393018223416;0.0002122019335797906;0.016817544972143408;0.00038418327651095835
Zimbabwe;256315.0;5574.0;231410.0;-19.015438;29.154857;15092171.0;19331.0;0.016983308763199145;0.0003693305621835321;0.015333115427859915;0.0012808627731556977
